doc_id,state,source_path,effective_date,end_date,duration,end_date_source,validity_status,validity_evidence,evidence_short,error
Arizona/Arizona_7,Arizona,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_7.txt,2011-01-01,2013-01-01,over the last 10 years,,found,"[{""text"": ""according to their commitment to improving the quality ofl life in our region; and Whereas, today, Mexico is."", ""timex_text"": ""today"", ""timex_type"": ""DATE"", ""timex_value"": ""PRESENT_REF""}, {""text"": ""Arizona's largest international trading partner making up roughly 33 percent of Arizona's $6 billion in foreign exports; and Whereas, travel between the State of Arizona and the State of Sonora at the international border has increased significantly over the last 10 years, with nearly 42 million people crossing the border between Arizona and Sonora in 2011; and Whereas, nearly half of all of the winter produce consumed in the United States passes through the Arizona-Sonora land ports of entry,and Whereas, the transportation infrastructure that carries people, goods and services is a necessary foundation for continued economic development; and Whereas, the Arizona-Sonora Border Master Plan presents a comprehensive bi-national approach to coordinating the planning and delivery of projects to improve the capacity and operations oft both land ports of entry and the transportation infrastructure providing access to these ports; and Whereas, preparation of the Arizona-Sonora Border Master Plan is part of an overall effort by thel United States Federal Highway Administration and the Mexico Ministry of Communications and' Transportation to identify and implement methods to relieve congestion at border crossings."", ""timex_text"": ""over the last 10 years"", ""timex_type"": ""DURATION"", ""timex_value"": ""P10Y""}, {""text"": ""Arizona's largest international trading partner making up roughly 33 percent of Arizona's $6 billion in foreign exports; and Whereas, travel between the State of Arizona and the State of Sonora at the international border has increased significantly over the last 10 years, with nearly 42 million people crossing the border between Arizona and Sonora in 2011; and Whereas, nearly half of all of the winter produce consumed in the United States passes through the Arizona-Sonora land ports of entry,and Whereas, the transportation infrastructure that carries people, goods and services is a necessary foundation for continued economic development; and Whereas, the Arizona-Sonora Border Master Plan presents a comprehensive bi-national approach to coordinating the planning and delivery of projects to improve the capacity and operations oft both land ports of entry and the transportation infrastructure providing access to these ports; and Whereas, preparation of the Arizona-Sonora Border Master Plan is part of an overall effort by thel United States Federal Highway Administration and the Mexico Ministry of Communications and' Transportation to identify and implement methods to relieve congestion at border crossings."", ""timex_text"": ""2011"", ""timex_type"": ""DATE"", ""timex_value"": ""2011""}, {""text"": ""Arizona's largest international trading partner making up roughly 33 percent of Arizona's $6 billion in foreign exports; and Whereas, travel between the State of Arizona and the State of Sonora at the international border has increased significantly over the last 10 years, with nearly 42 million people crossing the border between Arizona and Sonora in 2011; and Whereas, nearly half of all of the winter produce consumed in the United States passes through the Arizona-Sonora land ports of entry,and Whereas, the transportation infrastructure that carries people, goods and services is a necessary foundation for continued economic development; and Whereas, the Arizona-Sonora Border Master Plan presents a comprehensive bi-national approach to coordinating the planning and delivery of projects to improve the capacity and operations oft both land ports of entry and the transportation infrastructure providing access to these ports; and Whereas, preparation of the Arizona-Sonora Border Master Plan is part of an overall effort by thel United States Federal Highway Administration and the Mexico Ministry of Communications and' Transportation to identify and implement methods to relieve congestion at border crossings."", ""timex_text"": ""the winter"", ""timex_type"": ""DATE"", ""timex_value"": ""2011-WI""}, {""text"": ""To work to institutionalize the border master plan byl having the plan be a dynamic living document that will be updated on an ongoing basis, ideally every three to five years."", ""timex_text"": ""three"", ""timex_type"": ""DURATION"", ""timex_value"": ""P3Y""}]","according to their commitment to improving the quality ofl life in our region; and Whereas, today, Mexico is.",
Arizona/Arizona_8,Arizona,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_8.txt,2012-01-01,2012-01-01,thirty years,,found,"[{""text"": ""BORDER GOVERNORS' CONFERENCE a - : rque Aico JOINT DECLARATION /DECLARACION CONJUNTA PREAMBLE PREAMBULO The Border Governors Conference is an inter- La Conferencia de Gobernadores Fronterizos es una national/regional organization that is comprised of the organizacion internacional/regional que comprende los ten states located along the United States-Mexico diez estados localizados a lo largo de la frontera border celebrates its XXX Border Governors México-Estados Unidos, la cual celebra el trigésimo Conference in Albuquerque, New Mexico, October 3- aniversario de este foro en Albuquerque, Nuevo 5, 2012."", ""timex_text"": ""October 3"", ""timex_type"": ""DATE"", ""timex_value"": ""XXXX-10-03""}, {""text"": ""BORDER GOVERNORS' CONFERENCE a - : rque Aico JOINT DECLARATION /DECLARACION CONJUNTA PREAMBLE PREAMBULO The Border Governors Conference is an inter- La Conferencia de Gobernadores Fronterizos es una national/regional organization that is comprised of the organizacion internacional/regional que comprende los ten states located along the United States-Mexico diez estados localizados a lo largo de la frontera border celebrates its XXX Border Governors México-Estados Unidos, la cual celebra el trigésimo Conference in Albuquerque, New Mexico, October 3- aniversario de este foro en Albuquerque, Nuevo 5, 2012."", ""timex_text"": ""2012"", ""timex_type"": ""DATE"", ""timex_value"": ""2012""}, {""text"": ""BORDER GOVERNORS' CONFERENCE a - : rque Aico JOINT DECLARATION /DECLARACION CONJUNTA PREAMBLE PREAMBULO The Border Governors Conference is an inter- La Conferencia de Gobernadores Fronterizos es una national/regional organization that is comprised of the organizacion internacional/regional que comprende los ten states located along the United States-Mexico diez estados localizados a lo largo de la frontera border celebrates its XXX Border Governors México-Estados Unidos, la cual celebra el trigésimo Conference in Albuquerque, New Mexico, October 3- aniversario de este foro en Albuquerque, Nuevo 5, 2012."", ""timex_text"": ""2012"", ""timex_type"": ""DATE"", ""timex_value"": ""2012""}, {""text"": ""Now more than ever, we are committed to this Ahora mâs que nunca estamos comprometidos a strategic alliance building on thirty years of mantener esta alianza estratégica fincada en treinta experience."", ""timex_text"": ""Now"", ""timex_type"": ""DATE"", ""timex_value"": ""PRESENT_REF""}, {""text"": ""Now more than ever, we are committed to this Ahora mâs que nunca estamos comprometidos a strategic alliance building on thirty years of mantener esta alianza estratégica fincada en treinta experience."", ""timex_text"": ""thirty years"", ""timex_type"": ""DURATION"", ""timex_value"": ""P30Y""}]",BORDER GOVERNORS' CONFERENCE a - : rque Aico JOINT DECLARATION /DECLARACION CONJUNTA PREAMBLE PREAMBULO The Border Gover…,
Arizona/Arizona_9,Arizona,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_9.txt,1982-01-01,2022-06-02,,,found,"[{""text"": ""Fish and Wildlife Service of the United States of America, the Arizona Game and Fish Department and the New Mexico Department of Game and Fish, hereinafter referred to as \""The Participants\"", KNOWING that in the early 1970s, the Mexican wolf (Canis lupus baileyi) was extirpated in the United States, and considered extinct in Mexico a decade later, eventually leading to the development of the Mexican Wolf Recovery Plan in 1982; CONSIDERING that between 2015 and 2017, the Mexican Wolf Recovery Plan was revised following a series of binational workshops to update and analyze the biological information supporting the full recovery of the Mexican wolfby maintaining a captive breeding program and reestablishing viable, self- sustaining populations of at least 320 and 200 individuals with appropriate gene diversity, within historical range in the United States and the United Mexican States, respectively; CONSIDERING that the goals and objectives of Mexico's Action Program for the Conservation of Species: Mexican Wolf (PACE Lobo Mexicano) which seeks the establishment of actions for the conservation and management of Mexican wolf populations and habitat within its historical range that ensure the success of the species and its self-sustainability within the ecosystem, as well as the compliance to the commitments established under the Mexican Wolf Recovery Plan taking into account its genetic and demographic goals for the subspecies; 1 RECOGNIZING that, while the Mexican wolf wild and captive populations are larger now, there are new ecological, social and financial challenges that must be addressed through renewed and strengthened inter-institutional strategies that assure the successful recovery of the Mexican wolf; HIGHLIGHTING the value and importance of the Mexican wolf to the environment and the residents oft both countries, Mexico and the United States have been working jointly, and individually, to recover and conserve native species, particularly the Mexican wolf, within its historical distribution on both sides of the border; HIGHLIGHTING the value of collaboration to achieve shared goals, \""The Participants\"" have been working together to manage the binational Mexican WolfSpecies Survival Plan (SSP) Captive Breeding Program to provide Mexican wolves for release in both countries and to collaborate on the release of wolves in the United States and Mexico; TAKING INTO ACCOUNT the provisions and guidelines stated in the Memorandum of Understanding to establish the Canada/Mexico/United States/ Trilateral Committee for Wildlife and Ecosystem Conservation and Management, signed on April 09, 1996; \""The Participants\"" have reached the below understandings and intend to cooperate, in accordance with their areas of responsibility, current legal mandates, plans and programs of each country: \""The Participants\"" will elaborate an annual joint Work Plan aimed to carry on specific activities for the conservation, management and recovery of the Mexican wolf on both sides of the border and foster long- term partnerships, as well as to strengthen the existing collaboration between Mexico and the United States in recovering the Mexican wolf."", ""timex_text"": ""the early 1970s"", ""timex_type"": ""DATE"", ""timex_value"": ""197""}, {""text"": ""Fish and Wildlife Service of the United States of America, the Arizona Game and Fish Department and the New Mexico Department of Game and Fish, hereinafter referred to as \""The Participants\"", KNOWING that in the early 1970s, the Mexican wolf (Canis lupus baileyi) was extirpated in the United States, and considered extinct in Mexico a decade later, eventually leading to the development of the Mexican Wolf Recovery Plan in 1982; CONSIDERING that between 2015 and 2017, the Mexican Wolf Recovery Plan was revised following a series of binational workshops to update and analyze the biological information supporting the full recovery of the Mexican wolfby maintaining a captive breeding program and reestablishing viable, self- sustaining populations of at least 320 and 200 individuals with appropriate gene diversity, within historical range in the United States and the United Mexican States, respectively; CONSIDERING that the goals and objectives of Mexico's Action Program for the Conservation of Species: Mexican Wolf (PACE Lobo Mexicano) which seeks the establishment of actions for the conservation and management of Mexican wolf populations and habitat within its historical range that ensure the success of the species and its self-sustainability within the ecosystem, as well as the compliance to the commitments established under the Mexican Wolf Recovery Plan taking into account its genetic and demographic goals for the subspecies; 1 RECOGNIZING that, while the Mexican wolf wild and captive populations are larger now, there are new ecological, social and financial challenges that must be addressed through renewed and strengthened inter-institutional strategies that assure the successful recovery of the Mexican wolf; HIGHLIGHTING the value and importance of the Mexican wolf to the environment and the residents oft both countries, Mexico and the United States have been working jointly, and individually, to recover and conserve native species, particularly the Mexican wolf, within its historical distribution on both sides of the border; HIGHLIGHTING the value of collaboration to achieve shared goals, \""The Participants\"" have been working together to manage the binational Mexican WolfSpecies Survival Plan (SSP) Captive Breeding Program to provide Mexican wolves for release in both countries and to collaborate on the release of wolves in the United States and Mexico; TAKING INTO ACCOUNT the provisions and guidelines stated in the Memorandum of Understanding to establish the Canada/Mexico/United States/ Trilateral Committee for Wildlife and Ecosystem Conservation and Management, signed on April 09, 1996; \""The Participants\"" have reached the below understandings and intend to cooperate, in accordance with their areas of responsibility, current legal mandates, plans and programs of each country: \""The Participants\"" will elaborate an annual joint Work Plan aimed to carry on specific activities for the conservation, management and recovery of the Mexican wolf on both sides of the border and foster long- term partnerships, as well as to strengthen the existing collaboration between Mexico and the United States in recovering the Mexican wolf."", ""timex_text"": ""a decade later"", ""timex_type"": ""DATE"", ""timex_value"": ""198""}, {""text"": ""Fish and Wildlife Service of the United States of America, the Arizona Game and Fish Department and the New Mexico Department of Game and Fish, hereinafter referred to as \""The Participants\"", KNOWING that in the early 1970s, the Mexican wolf (Canis lupus baileyi) was extirpated in the United States, and considered extinct in Mexico a decade later, eventually leading to the development of the Mexican Wolf Recovery Plan in 1982; CONSIDERING that between 2015 and 2017, the Mexican Wolf Recovery Plan was revised following a series of binational workshops to update and analyze the biological information supporting the full recovery of the Mexican wolfby maintaining a captive breeding program and reestablishing viable, self- sustaining populations of at least 320 and 200 individuals with appropriate gene diversity, within historical range in the United States and the United Mexican States, respectively; CONSIDERING that the goals and objectives of Mexico's Action Program for the Conservation of Species: Mexican Wolf (PACE Lobo Mexicano) which seeks the establishment of actions for the conservation and management of Mexican wolf populations and habitat within its historical range that ensure the success of the species and its self-sustainability within the ecosystem, as well as the compliance to the commitments established under the Mexican Wolf Recovery Plan taking into account its genetic and demographic goals for the subspecies; 1 RECOGNIZING that, while the Mexican wolf wild and captive populations are larger now, there are new ecological, social and financial challenges that must be addressed through renewed and strengthened inter-institutional strategies that assure the successful recovery of the Mexican wolf; HIGHLIGHTING the value and importance of the Mexican wolf to the environment and the residents oft both countries, Mexico and the United States have been working jointly, and individually, to recover and conserve native species, particularly the Mexican wolf, within its historical distribution on both sides of the border; HIGHLIGHTING the value of collaboration to achieve shared goals, \""The Participants\"" have been working together to manage the binational Mexican WolfSpecies Survival Plan (SSP) Captive Breeding Program to provide Mexican wolves for release in both countries and to collaborate on the release of wolves in the United States and Mexico; TAKING INTO ACCOUNT the provisions and guidelines stated in the Memorandum of Understanding to establish the Canada/Mexico/United States/ Trilateral Committee for Wildlife and Ecosystem Conservation and Management, signed on April 09, 1996; \""The Participants\"" have reached the below understandings and intend to cooperate, in accordance with their areas of responsibility, current legal mandates, plans and programs of each country: \""The Participants\"" will elaborate an annual joint Work Plan aimed to carry on specific activities for the conservation, management and recovery of the Mexican wolf on both sides of the border and foster long- term partnerships, as well as to strengthen the existing collaboration between Mexico and the United States in recovering the Mexican wolf."", ""timex_text"": ""1982"", ""timex_type"": ""DATE"", ""timex_value"": ""1982""}, {""text"": ""Fish and Wildlife Service of the United States of America, the Arizona Game and Fish Department and the New Mexico Department of Game and Fish, hereinafter referred to as \""The Participants\"", KNOWING that in the early 1970s, the Mexican wolf (Canis lupus baileyi) was extirpated in the United States, and considered extinct in Mexico a decade later, eventually leading to the development of the Mexican Wolf Recovery Plan in 1982; CONSIDERING that between 2015 and 2017, the Mexican Wolf Recovery Plan was revised following a series of binational workshops to update and analyze the biological information supporting the full recovery of the Mexican wolfby maintaining a captive breeding program and reestablishing viable, self- sustaining populations of at least 320 and 200 individuals with appropriate gene diversity, within historical range in the United States and the United Mexican States, respectively; CONSIDERING that the goals and objectives of Mexico's Action Program for the Conservation of Species: Mexican Wolf (PACE Lobo Mexicano) which seeks the establishment of actions for the conservation and management of Mexican wolf populations and habitat within its historical range that ensure the success of the species and its self-sustainability within the ecosystem, as well as the compliance to the commitments established under the Mexican Wolf Recovery Plan taking into account its genetic and demographic goals for the subspecies; 1 RECOGNIZING that, while the Mexican wolf wild and captive populations are larger now, there are new ecological, social and financial challenges that must be addressed through renewed and strengthened inter-institutional strategies that assure the successful recovery of the Mexican wolf; HIGHLIGHTING the value and importance of the Mexican wolf to the environment and the residents oft both countries, Mexico and the United States have been working jointly, and individually, to recover and conserve native species, particularly the Mexican wolf, within its historical distribution on both sides of the border; HIGHLIGHTING the value of collaboration to achieve shared goals, \""The Participants\"" have been working together to manage the binational Mexican WolfSpecies Survival Plan (SSP) Captive Breeding Program to provide Mexican wolves for release in both countries and to collaborate on the release of wolves in the United States and Mexico; TAKING INTO ACCOUNT the provisions and guidelines stated in the Memorandum of Understanding to establish the Canada/Mexico/United States/ Trilateral Committee for Wildlife and Ecosystem Conservation and Management, signed on April 09, 1996; \""The Participants\"" have reached the below understandings and intend to cooperate, in accordance with their areas of responsibility, current legal mandates, plans and programs of each country: \""The Participants\"" will elaborate an annual joint Work Plan aimed to carry on specific activities for the conservation, management and recovery of the Mexican wolf on both sides of the border and foster long- term partnerships, as well as to strengthen the existing collaboration between Mexico and the United States in recovering the Mexican wolf."", ""timex_text"": ""2015"", ""timex_type"": ""DATE"", ""timex_value"": ""2015""}, {""text"": ""Fish and Wildlife Service of the United States of America, the Arizona Game and Fish Department and the New Mexico Department of Game and Fish, hereinafter referred to as \""The Participants\"", KNOWING that in the early 1970s, the Mexican wolf (Canis lupus baileyi) was extirpated in the United States, and considered extinct in Mexico a decade later, eventually leading to the development of the Mexican Wolf Recovery Plan in 1982; CONSIDERING that between 2015 and 2017, the Mexican Wolf Recovery Plan was revised following a series of binational workshops to update and analyze the biological information supporting the full recovery of the Mexican wolfby maintaining a captive breeding program and reestablishing viable, self- sustaining populations of at least 320 and 200 individuals with appropriate gene diversity, within historical range in the United States and the United Mexican States, respectively; CONSIDERING that the goals and objectives of Mexico's Action Program for the Conservation of Species: Mexican Wolf (PACE Lobo Mexicano) which seeks the establishment of actions for the conservation and management of Mexican wolf populations and habitat within its historical range that ensure the success of the species and its self-sustainability within the ecosystem, as well as the compliance to the commitments established under the Mexican Wolf Recovery Plan taking into account its genetic and demographic goals for the subspecies; 1 RECOGNIZING that, while the Mexican wolf wild and captive populations are larger now, there are new ecological, social and financial challenges that must be addressed through renewed and strengthened inter-institutional strategies that assure the successful recovery of the Mexican wolf; HIGHLIGHTING the value and importance of the Mexican wolf to the environment and the residents oft both countries, Mexico and the United States have been working jointly, and individually, to recover and conserve native species, particularly the Mexican wolf, within its historical distribution on both sides of the border; HIGHLIGHTING the value of collaboration to achieve shared goals, \""The Participants\"" have been working together to manage the binational Mexican WolfSpecies Survival Plan (SSP) Captive Breeding Program to provide Mexican wolves for release in both countries and to collaborate on the release of wolves in the United States and Mexico; TAKING INTO ACCOUNT the provisions and guidelines stated in the Memorandum of Understanding to establish the Canada/Mexico/United States/ Trilateral Committee for Wildlife and Ecosystem Conservation and Management, signed on April 09, 1996; \""The Participants\"" have reached the below understandings and intend to cooperate, in accordance with their areas of responsibility, current legal mandates, plans and programs of each country: \""The Participants\"" will elaborate an annual joint Work Plan aimed to carry on specific activities for the conservation, management and recovery of the Mexican wolf on both sides of the border and foster long- term partnerships, as well as to strengthen the existing collaboration between Mexico and the United States in recovering the Mexican wolf."", ""timex_text"": ""2017"", ""timex_type"": ""DATE"", ""timex_value"": ""2017""}]","Fish and Wildlife Service of the United States of America, the Arizona Game and Fish Department and the New Mexico Depar…",
Arkansas/Arkansas_1,Arkansas,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_1.txt,2013-07-25,2020-01-01,5 years,,found,"[{""text"": ""AGREEMENT ON COOPERATION Between THE STATE OF ARKANSAS, THE UNITED STATES OF AMERICA And DONG NAI PROVINCE PEOPLE'S COMMITTEE, THE SOCIALIST REPUBLIC OF VIETNAM For the 2015-2020 period Dong Nai Province People's Committee, the Socialist Republic of Vietnam represented by Mr."", ""timex_text"": ""2015"", ""timex_type"": ""DATE"", ""timex_value"": ""2015""}, {""text"": ""AGREEMENT ON COOPERATION Between THE STATE OF ARKANSAS, THE UNITED STATES OF AMERICA And DONG NAI PROVINCE PEOPLE'S COMMITTEE, THE SOCIALIST REPUBLIC OF VIETNAM For the 2015-2020 period Dong Nai Province People's Committee, the Socialist Republic of Vietnam represented by Mr."", ""timex_text"": ""2020"", ""timex_type"": ""DATE"", ""timex_value"": ""2020""}, {""text"": ""Asa Hutchinson - Governor (hereinafter refered to as \""Parties\""); In accordance with the framework of the July 25th, 2013 Joint Statement by the United States and Vietnam on the Comprehensive Partnership which intended to contribute to the peace, stability, co-operation and prosperity for each country; based on the principles of equality and mutual benefit corresponding with the Law of each country, and International treaty and agreements that both countries are obligated to; Whereas the two Parties with their needs and capability desire to cooperate in order to promote economic development in the fields of trade, high-tech agriculture, services, healthcare, education, science and technology, industrial production; as well as the introduction of tourism, culture exchange, and people-to-people relations between Dong Nai Province, Vietnam and the State of Arkansas, the United States in the 2015 - 2020 period and the years after; The two Parties hereby agree to sign the \""Agreement on Cooperation\"" as follows: Article 1."", ""timex_text"": ""July 25th, 2013"", ""timex_type"": ""DATE"", ""timex_value"": ""2013-07-25""}, {""text"": ""AGREEMENT ON COOPERATION Between THE STATE OF ARKANSAS, THE UNITED STATES OF AMERICA And DONG NAI PROVINCE PEOPLE'S COMMITTEE, THE SOCIALIST REPUBLIC OF VIETNAM For the 2015-2020 period Dong Nai Province People's Committee, the Socialist Republic of Vietnam represented by Mr."", ""timex_text"": ""2015"", ""timex_type"": ""DATE"", ""timex_value"": ""2015""}, {""text"": ""AGREEMENT ON COOPERATION Between THE STATE OF ARKANSAS, THE UNITED STATES OF AMERICA And DONG NAI PROVINCE PEOPLE'S COMMITTEE, THE SOCIALIST REPUBLIC OF VIETNAM For the 2015-2020 period Dong Nai Province People's Committee, the Socialist Republic of Vietnam represented by Mr."", ""timex_text"": ""2020"", ""timex_type"": ""DATE"", ""timex_value"": ""2020""}]","AGREEMENT ON COOPERATION Between THE STATE OF ARKANSAS, THE UNITED STATES OF AMERICA And DONG NAI PROVINCE PEOPLE'S COMM…",
Arkansas/Arkansas_10,Arkansas,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_10.txt,0004-09-10,,three months,,found,"[{""text"": ""Arkansas and France agree to provide samples of driver's licenses currently in circulation as of the date of this Arrangement and any versions, which may be introduced at a later date."", ""timex_text"": ""currently"", ""timex_type"": ""DATE"", ""timex_value"": ""PRESENT_REF""}, {""text"": ""This Arrangement is effective upon the: signature of both parties and can be revoked by either party at any time, for any reason with three months from notice to implement this decision."", ""timex_text"": ""three months"", ""timex_type"": ""DURATION"", ""timex_value"": ""P3M""}, {""text"": ""w Date Signature Date W 04 09/10/04"", ""timex_text"": ""09/10/04"", ""timex_type"": ""DATE"", ""timex_value"": ""0004-09-10""}]",Arkansas and France agree to provide samples of driver's licenses currently in circulation as of the date of this Arrang…,
Arkansas/Arkansas_2,Arkansas,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_2.txt,1997-11-13,1997-12-01,,,found,"[{""text"": ""Box 3278 Little Rock - 72203 OFFICE OF THE DIRECTOR Phone (501) 682-2242 November 13, 1997 Federal Ministry of Transport of Germany C/O American Embassy PSC117, Box 330 APO, AE 09080 Dear Sir: As of December 1, 1997 the State of Arkansas, through the Department of Finance and Administration, Office of Driver Services, will no longer require German citizens residing here in Arkansas to take a practical or written drivers' test."", ""timex_text"": ""November 13, 1997"", ""timex_type"": ""DATE"", ""timex_value"": ""1997-11-13""}, {""text"": ""Box 3278 Little Rock - 72203 OFFICE OF THE DIRECTOR Phone (501) 682-2242 November 13, 1997 Federal Ministry of Transport of Germany C/O American Embassy PSC117, Box 330 APO, AE 09080 Dear Sir: As of December 1, 1997 the State of Arkansas, through the Department of Finance and Administration, Office of Driver Services, will no longer require German citizens residing here in Arkansas to take a practical or written drivers' test."", ""timex_text"": ""December 1, 1997"", ""timex_type"": ""DATE"", ""timex_value"": ""1997-12-01""}]","Box 3278 Little Rock - 72203 OFFICE OF THE DIRECTOR Phone (501) 682-2242 November 13, 1997 Federal Ministry of Transport…",
Arkansas/Arkansas_3,Arkansas,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_3.txt,1995-01-01,2015-01-01,,,found,"[{""text"": ""DRAFT Memorandum of Understanding Between Dông Nai Province of the Socialist Republic of Vietnam And the State of Arkansas of the United States of America In order to further friendly diplomatic relations, enhance cultural and historic understanding and cooperation, and to promote economic development and international trade between the State of Arkansas of the United States of America and the Dông Nai Province of the Socialist Republic of Vietnam, and in accordance with the principles of the 1995 Joint Statement on the Establishment of Diplomatic Relations between the Socialist Republic of Vietnam and the United States of America, the parties have resolved to enter into this Memorandum of Understanding hereby establishing a Sister State relationship between the parties in the fields of trade and economic cooperation, agriculture, manufacturing, education, culture, science, health and technology."", ""timex_text"": ""1995"", ""timex_type"": ""DATE"", ""timex_value"": ""1995""}, {""text"": ""Agreed upon in Little Rock, Arkansas, the United States of America, the day of April, 2015."", ""timex_text"": ""April"", ""timex_type"": ""DATE"", ""timex_value"": ""1995-04""}, {""text"": ""Agreed upon in Little Rock, Arkansas, the United States of America, the day of April, 2015."", ""timex_text"": ""2015"", ""timex_type"": ""DATE"", ""timex_value"": ""2015""}]",DRAFT Memorandum of Understanding Between Dông Nai Province of the Socialist Republic of Vietnam And the State of Arkans…,
Arkansas/Arkansas_4,Arkansas,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_4.txt,1900-01-01,2047-07-01,,,found,"[{""text"": ""Walter Anger, Assistant Commissioner Operations and Administration 1900 West Seventh Street 2047 Ragland Building Little Rock, Arkansas 72201 Tel: (1-501) 682-7025 Fax: (1-501) 682-1683 E-mail: Walter.Anger@DFA.Arkansas.gov Paragraph 4 a."", ""timex_text"": ""1900"", ""timex_type"": ""DATE"", ""timex_value"": ""1900""}, {""text"": ""Walter Anger, Assistant Commissioner Operations and Administration 1900 West Seventh Street 2047 Ragland Building Little Rock, Arkansas 72201 Tel: (1-501) 682-7025 Fax: (1-501) 682-1683 E-mail: Walter.Anger@DFA.Arkansas.gov Paragraph 4 a."", ""timex_text"": ""2047"", ""timex_type"": ""DATE"", ""timex_value"": ""2047""}, {""text"": ""Signed, at Little Rock, Arkansas, on the 11\""h day of July, 2014, in duplicate in the English and Korean language, both texts being equally valid."", ""timex_text"": ""July"", ""timex_type"": ""DATE"", ""timex_value"": ""2047-07""}, {""text"": ""Signed, at Little Rock, Arkansas, on the 11\""h day of July, 2014, in duplicate in the English and Korean language, both texts being equally valid."", ""timex_text"": ""2014"", ""timex_type"": ""DATE"", ""timex_value"": ""2014""}]","Walter Anger, Assistant Commissioner Operations and Administration 1900 West Seventh Street 2047 Ragland Building Little…",
Arkansas/Arkansas_5,Arkansas,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_5.txt,1900-01-01,2047-01-01,,,found,"[{""text"": ""Communication between the Sides under this MOU will be in English and in writing, and will be sent to the following addresses: Taipei Economic and Cultural Office in Houston Att: Consular Officer Consular Division 11 Greenway Plaza, Suite 2006 Houston, TX 77046 USA Tel: 1-717-626-7445 Fax: 1-713-626-0990 E-mail: tecohou@sbeglobal.net Arkansas Department of Finance & Administration Office of Driver Services Attn: Mr."", ""timex_text"": ""2006"", ""timex_type"": ""DATE"", ""timex_value"": ""2006""}, {""text"": ""Walter Anger, Assistant Commissioner Operations and Administration 1900 West Seventh Street 2047 Ragland Building Little Rock, Arkansas 72201 Tel: (501) 682-7025 Fax: (501) 682-1683 E-mail: Walter.AugereDFA.Arkansas.goY Section 4 a."", ""timex_text"": ""1900"", ""timex_type"": ""DATE"", ""timex_value"": ""1900""}, {""text"": ""Walter Anger, Assistant Commissioner Operations and Administration 1900 West Seventh Street 2047 Ragland Building Little Rock, Arkansas 72201 Tel: (501) 682-7025 Fax: (501) 682-1683 E-mail: Walter.AugereDFA.Arkansas.goY Section 4 a."", ""timex_text"": ""2047"", ""timex_type"": ""DATE"", ""timex_value"": ""2047""}]","Communication between the Sides under this MOU will be in English and in writing, and will be sent to the following addr…",
Arkansas/Arkansas_6,Arkansas,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_6.txt,2018-01-01,,5 years,,found,"[{""text"": ""This Agreement shall be in full force and effective for a period of 5 years."", ""timex_text"": ""5 years"", ""timex_type"": ""DURATION"", ""timex_value"": ""P5Y""}, {""text"": ""However, the Republic of Ghana and the State of Arkansas may terminate this Agreement at any time during the Agreement period by providing 30 days' written notice."", ""timex_text"": ""30 days"", ""timex_type"": ""DURATION"", ""timex_value"": ""P30D""}, {""text"": ""On this date June 13 in the year of 2018, we do hereby set our signatures to affirm and witness to make this MOU the official document by which all aforementioned activities and subsequent activities shall be implemented."", ""timex_text"": ""June 13"", ""timex_type"": ""DATE"", ""timex_value"": ""XXXX-06-13""}, {""text"": ""On this date June 13 in the year of 2018, we do hereby set our signatures to affirm and witness to make this MOU the official document by which all aforementioned activities and subsequent activities shall be implemented."", ""timex_text"": ""2018"", ""timex_type"": ""DATE"", ""timex_value"": ""2018""}]",This Agreement shall be in full force and effective for a period of 5 years.,
Arkansas/Arkansas_7,Arkansas,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_7.txt,2018-01-01,,5 years,,found,"[{""text"": ""This Agreement shall be in full force and effective for a period of 5 years."", ""timex_text"": ""5 years"", ""timex_type"": ""DURATION"", ""timex_value"": ""P5Y""}, {""text"": ""However, the Republic of Ghana and the State of Arkansas may terminate this Agreement at any time during the Agreement period by providing 30 days' written notice."", ""timex_text"": ""30 days"", ""timex_type"": ""DURATION"", ""timex_value"": ""P30D""}, {""text"": ""On this date June 13 in the year of 2018, we do hereby set our signatures to affirm and witness to make this MOU the official document by which all aforementioned activities and subsequent activities shall be implemented."", ""timex_text"": ""June 13"", ""timex_type"": ""DATE"", ""timex_value"": ""XXXX-06-13""}, {""text"": ""On this date June 13 in the year of 2018, we do hereby set our signatures to affirm and witness to make this MOU the official document by which all aforementioned activities and subsequent activities shall be implemented."", ""timex_text"": ""2018"", ""timex_type"": ""DATE"", ""timex_value"": ""2018""}]",This Agreement shall be in full force and effective for a period of 5 years.,
